NID    NIC-Addr  Node          Gemini         X  Y  Z
97       257     c0-2c2s0n1    c0-2c2s0g0     0  2  0 
98       260     c0-2c2s1n0    c0-2c2s1g0     0  2  1 
99       261     c0-2c2s1n1    c0-2c2s1g0     0  2  1 
100      264     c0-2c2s2n0    c0-2c2s2g0     0  2  2 
101      265     c0-2c2s2n1    c0-2c2s2g0     0  2  2 
102      268     c0-2c2s3n0    c0-2c2s3g0     0  2  3 
103      269     c0-2c2s3n1    c0-2c2s3g0     0  2  3 
104      272     c0-2c2s4n0    c0-2c2s4g0     0  2  4 
105      273     c0-2c2s4n1    c0-2c2s4g0     0  2  4 
106      276     c0-2c2s5n0    c0-2c2s5g0     0  2  5 
107      277     c0-2c2s5n1    c0-2c2s5g0     0  2  5 
108      280     c0-2c2s6n0    c0-2c2s6g0     0  2  6 
109      281     c0-2c2s6n1    c0-2c2s6g0     0  2  6 
110      284     c0-2c2s7n0    c0-2c2s7g0     0  2  7 
111      285     c0-2c2s7n1    c0-2c2s7g0     0  2  7 
112      288     c0-2c1s7n0    c0-2c1s7g0     0  2  8 
113      289     c0-2c1s7n1    c0-2c1s7g0     0  2  8 
114      292     c0-2c1s6n0    c0-2c1s6g0     0  2  9 
115      293     c0-2c1s6n1    c0-2c1s6g0     0  2  9 
116      296     c0-2c1s5n0    c0-2c1s5g0     0  2  10
117      297     c0-2c1s5n1    c0-2c1s5g0     0  2  10
118      300     c0-2c1s4n0    c0-2c1s4g0     0  2  11
119      301     c0-2c1s4n1    c0-2c1s4g0     0  2  11
120      304     c0-2c1s3n0    c0-2c1s3g0     0  2  12
121      305     c0-2c1s3n1    c0-2c1s3g0     0  2  12
122      308     c0-2c1s2n0    c0-2c1s2g0     0  2  13
123      309     c0-2c1s2n1    c0-2c1s2g0     0  2  13
124      312     c0-2c1s1n0    c0-2c1s1g0     0  2  14
125      313     c0-2c1s1n1    c0-2c1s1g0     0  2  14
126      316     c0-2c1s0n0    c0-2c1s0g0     0  2  15
127      317     c0-2c1s0n1    c0-2c1s0g0     0  2  15
128      320     c0-2c0s0n0    c0-2c0s0g0     0  2  16
129      321     c0-2c0s0n1    c0-2c0s0g0     0  2  16
130      324     c0-2c0s1n0    c0-2c0s1g0     0  2  17
131      325     c0-2c0s1n1    c0-2c0s1g0     0  2  17
132      328     c0-2c0s2n0    c0-2c0s2g0     0  2  18
133      329     c0-2c0s2n1    c0-2c0s2g0     0  2  18
134      332     c0-2c0s3n0    c0-2c0s3g0     0  2  19
135      333     c0-2c0s3n1    c0-2c0s3g0     0  2  19
136      336     c0-2c0s4n0    c0-2c0s4g0     0  2  20
137      337     c0-2c0s4n1    c0-2c0s4g0     0  2  20
138      340     c0-2c0s5n0    c0-2c0s5g0     0  2  21
139      341     c0-2c0s5n1    c0-2c0s5g0     0  2  21
140      344     c0-2c0s6n0    c0-2c0s6g0     0  2  22
141      345     c0-2c0s6n1    c0-2c0s6g0     0  2  22
142      348     c0-2c0s7n0    c0-2c0s7g0     0  2  23
143      349     c0-2c0s7n1    c0-2c0s7g0     0  2  23
190      384     c0-2c2s0n2    c0-2c2s0g1     0  3  0 
191      385     c0-2c2s0n3    c0-2c2s0g1     0  3  0 
188      388     c0-2c2s1n2    c0-2c2s1g1     0  3  1 
189      389     c0-2c2s1n3    c0-2c2s1g1     0  3  1 
186      392     c0-2c2s2n2    c0-2c2s2g1     0  3  2 
187      393     c0-2c2s2n3    c0-2c2s2g1     0  3  2 
184      396     c0-2c2s3n2    c0-2c2s3g1     0  3  3 
185      397     c0-2c2s3n3    c0-2c2s3g1     0  3  3 
182      400     c0-2c2s4n2    c0-2c2s4g1     0  3  4 
183      401     c0-2c2s4n3    c0-2c2s4g1     0  3  4 
180      404     c0-2c2s5n2    c0-2c2s5g1     0  3  5 
181      405     c0-2c2s5n3    c0-2c2s5g1     0  3  5 
178      408     c0-2c2s6n2    c0-2c2s6g1     0  3  6 
179      409     c0-2c2s6n3    c0-2c2s6g1     0  3  6 
176      412     c0-2c2s7n2    c0-2c2s7g1     0  3  7 
177      413     c0-2c2s7n3    c0-2c2s7g1     0  3  7 
174      416     c0-2c1s7n2    c0-2c1s7g1     0  3  8 
175      417     c0-2c1s7n3    c0-2c1s7g1     0  3  8 
172      420     c0-2c1s6n2    c0-2c1s6g1     0  3  9 
173      421     c0-2c1s6n3    c0-2c1s6g1     0  3  9 
170      424     c0-2c1s5n2    c0-2c1s5g1     0  3  10
171      425     c0-2c1s5n3    c0-2c1s5g1     0  3  10
168      428     c0-2c1s4n2    c0-2c1s4g1     0  3  11
169      429     c0-2c1s4n3    c0-2c1s4g1     0  3  11
166      432     c0-2c1s3n2    c0-2c1s3g1     0  3  12
167      433     c0-2c1s3n3    c0-2c1s3g1     0  3  12
164      436     c0-2c1s2n2    c0-2c1s2g1     0  3  13
165      437     c0-2c1s2n3    c0-2c1s2g1     0  3  13
162      440     c0-2c1s1n2    c0-2c1s1g1     0  3  14
163      441     c0-2c1s1n3    c0-2c1s1g1     0  3  14
160      444     c0-2c1s0n2    c0-2c1s0g1     0  3  15
161      445     c0-2c1s0n3    c0-2c1s0g1     0  3  15
158      448     c0-2c0s0n2    c0-2c0s0g1     0  3  16
159      449     c0-2c0s0n3    c0-2c0s0g1     0  3  16
156      452     c0-2c0s1n2    c0-2c0s1g1     0  3  17
157      453     c0-2c0s1n3    c0-2c0s1g1     0  3  17
154      456     c0-2c0s2n2    c0-2c0s2g1     0  3  18
155      457     c0-2c0s2n3    c0-2c0s2g1     0  3  18
152      460     c0-2c0s3n2    c0-2c0s3g1     0  3  19
153      461     c0-2c0s3n3    c0-2c0s3g1     0  3  19
150      464     c0-2c0s4n2    c0-2c0s4g1     0  3  20
151      465     c0-2c0s4n3    c0-2c0s4g1     0  3  20
148      468     c0-2c0s5n2    c0-2c0s5g1     0  3  21
149      469     c0-2c0s5n3    c0-2c0s5g1     0  3  21
146      472     c0-2c0s6n2    c0-2c0s6g1     0  3  22
147      473     c0-2c0s6n3    c0-2c0s6g1     0  3  22
144      476     c0-2c0s7n2    c0-2c0s7g1     0  3  23
145      477     c0-2c0s7n3    c0-2c0s7g1     0  3  23
192      512     c0-4c0s0n0    c0-4c0s0g0     0  4  0 
193      513     c0-4c0s0n1    c0-4c0s0g0     0  4  0 
194      516     c0-4c0s1n0    c0-4c0s1g0     0  4  1 
195      517     c0-4c0s1n1    c0-4c0s1g0     0  4  1 
196      520     c0-4c0s2n0    c0-4c0s2g0     0  4  2 
197      521     c0-4c0s2n1    c0-4c0s2g0     0  4  2 
198      524     c0-4c0s3n0    c0-4c0s3g0     0  4  3 
199      525     c0-4c0s3n1    c0-4c0s3g0     0  4  3 
200      528     c0-4c0s4n0    c0-4c0s4g0     0  4  4 
201      529     c0-4c0s4n1    c0-4c0s4g0     0  4  4 
